Pasture,Transect_ID,Date
12B,12B-10E,1957-12-04
12B,12B-10E,1966-10-13
12B,12B-10E,1975-06-09
12B,12B-10E,1984-09-20
12B,12B-10E,1997-03-02
12B,12B-10E,2000-02-28
12B,12B-10E,2003-02-10
12B,12B-10E,2006-01-19
12B,12B-10E,2009-01-30
12B,12B-10E,2012-01-16
12B,12B-10E,2015-02-09
12B,12B-10E,2018-01-26
12B,12B-10E,2021-01-28
12B,12B-10E,2024-02-19
12B,12B-10W,1957-12-04
12B,12B-10W,1966-10-13
12B,12B-10W,1975-06-09
12B,12B-10W,1982-10-20
12B,12B-10W,1984-09-20
12B,12B-10W,1997-03-02
12B,12B-10W,2000-02-28
12B,12B-10W,2003-02-10
12B,12B-10W,2006-01-19
12B,12B-10W,2009-01-30
12B,12B-10W,2012-01-16
12B,12B-10W,2015-02-09
12B,12B-10W,2018-01-26
12B,12B-10W,2021-01-28
12B,12B-10W,2024-02-19
12B,12B-11E,1957-12-04
12B,12B-11E,1966-10-13
12B,12B-11E,1975-06-09
12B,12B-11E,1982-10-20
12B,12B-11E,1984-09-20
12B,12B-11E,1997-03-02
12B,12B-11E,2000-02-28
12B,12B-11E,2003-02-10
12B,12B-11E,2006-01-19
12B,12B-11E,2012-01-16
12B,12B-11E,2015-02-09
12B,12B-11E,2018-01-26
12B,12B-11E,2021-01-27
12B,12B-11E,2024-02-19
12B,12B-11W,1957-12-04
12B,12B-11W,1966-10-13
12B,12B-11W,1975-06-09
12B,12B-11W,1982-10-20
12B,12B-11W,1984-09-04
12B,12B-11W,1997-03-02
12B,12B-11W,2000-02-28
12B,12B-11W,2003-02-10
12B,12B-11W,2006-01-19
12B,12B-11W,2012-01-16
12B,12B-11W,2015-02-09
12B,12B-11W,2018-01-26
12B,12B-11W,2021-01-27
12B,12B-11W,2024-02-19
12B,12B-4E,1957-12-04
12B,12B-4E,1962-09-18
12B,12B-4E,1966-10-14
12B,12B-4E,1975-06-09
12B,12B-4E,1982-10-23
12B,12B-4E,1984-09-20
12B,12B-4E,1997-03-07
12B,12B-4E,2000-02-28
12B,12B-4E,2003-02-28
12B,12B-4E,2006-01-19
12B,12B-4E,2009-04-10
12B,12B-4E,2009-01-30
12B,12B-4E,2012-01-16
12B,12B-4E,2015-02-09
12B,12B-4E,2018-01-26
12B,12B-4E,2021-01-28
12B,12B-4E,2024-02-24
12B,12B-4W,1957-12-04
12B,12B-4W,1962-09-18
12B,12B-4W,1966-09-14
12B,12B-4W,1975-06-09
12B,12B-4W,1997-03-07
12B,12B-4W,2000-02-28
12B,12B-4W,2003-02-28
12B,12B-4W,2006-01-19
12B,12B-4W,2009-01-30
12B,12B-4W,2012-01-16
12B,12B-4W,2015-02-09
12B,12B-4W,2018-01-26
12B,12B-4W,2021-01-28
12B,12B-4W,2024-02-24
12B,12B-5E,1957-12-04
12B,12B-5E,1966-10-14
12B,12B-5E,1997-03-07
12B,12B-5E,2000-02-28
12B,12B-5E,2003-02-28
12B,12B-5E,2006-01-19
12B,12B-5E,2009-01-30
12B,12B-5E,2012-01-16
12B,12B-5E,2015-02-09
12B,12B-5E,2018-01-26
12B,12B-5E,2021-01-28
12B,12B-5E,2024-02-24
12B,12B-5W,1957-12-04
12B,12B-5W,1966-10-14
12B,12B-5W,1975-06-09
12B,12B-5W,1982-10-23
12B,12B-5W,1997-03-07
12B,12B-5W,2000-02-28
12B,12B-5W,2003-02-28
12B,12B-5W,2006-01-19
12B,12B-5W,2009-01-30
12B,12B-5W,2012-01-16
12B,12B-5W,2015-02-09
12B,12B-5W,2018-01-26
12B,12B-5W,2021-01-28
12B,12B-5W,2024-02-24
12B,12B-7E,1957-12-04
12B,12B-7E,1962-09-19
12B,12B-7E,1966-10-14
12B,12B-7E,1975-06-06
12B,12B-7E,1982-10-10
12B,12B-7E,1984-09-20
12B,12B-7E,1997-03-02
12B,12B-7E,2000-02-25
12B,12B-7E,2003-02-10
12B,12B-7E,2006-01-23
12B,12B-7E,2009-03-30
12B,12B-7E,2012-01-20
12B,12B-7E,2015-02-16
12B,12B-7E,2018-01-22
12B,12B-7E,2021-01-27
12B,12B-7E,2024-02-19
12B,12B-7W,1957-12-04
12B,12B-7W,1962-09-19
12B,12B-7W,1966-10-14
12B,12B-7W,1975-06-06
12B,12B-7W,1997-03-02
12B,12B-7W,2000-02-25
12B,12B-7W,2003-02-10
12B,12B-7W,2006-01-23
12B,12B-7W,2009-03-30
12B,12B-7W,2012-01-20
12B,12B-7W,2015-02-16
12B,12B-7W,2018-01-22
12B,12B-7W,2021-01-27
12B,12B-7W,2024-02-19
2N,2N-10E,1957-12-20
2N,2N-10E,1962-09-13
2N,2N-10E,1966-10-05
2N,2N-10E,1975-06-03
2N,2N-10E,1984-09-22
2N,2N-10E,1997-02-14
2N,2N-10E,2000-03-10
2N,2N-10E,2003-02-21
2N,2N-10E,2006-02-06
2N,2N-10E,2009-03-23
2N,2N-10E,2012-03-02
2N,2N-10E,2015-03-20
2N,2N-10E,2018-02-05
2N,2N-10E,2021-02-05
2N,2N-10E,2024-03-22
2N,2N-10W,1957-12-20
2N,2N-10W,1962-09-13
2N,2N-10W,1966-10-05
2N,2N-10W,1975-06-03
2N,2N-10W,1984-09-22
2N,2N-10W,1997-02-14
2N,2N-10W,2000-03-10
2N,2N-10W,2003-02-21
2N,2N-10W,2006-02-06
2N,2N-10W,2009-03-23
2N,2N-10W,2012-03-02
2N,2N-10W,2015-03-20
2N,2N-10W,2018-02-05
2N,2N-10W,2021-02-05
2N,2N-10W,2024-03-22
2N,2N-11E,1957-12-20
2N,2N-11E,1966-10-05
2N,2N-11E,1975-06-05
2N,2N-11E,1984-09-20
2N,2N-11E,1997-03-14
2N,2N-11E,2000-03-10
2N,2N-11E,2003-02-21
2N,2N-11E,2006-02-06
2N,2N-11E,2009-03-23
2N,2N-11E,2012-03-02
2N,2N-11E,2015-03-20
2N,2N-11E,2018-02-09
2N,2N-11E,2021-02-05
2N,2N-11E,2024-03-22
2N,2N-11W,1957-12-20
2N,2N-11W,1966-10-05
2N,2N-11W,1975-06-05
2N,2N-11W,1981-06-09
2N,2N-11W,1984-09-20
2N,2N-11W,1997-03-14
2N,2N-11W,2000-03-10
2N,2N-11W,2003-02-21
2N,2N-11W,2006-02-06
2N,2N-11W,2009-03-23
2N,2N-11W,2012-03-02
2N,2N-11W,2015-03-20
2N,2N-11W,2018-02-09
2N,2N-11W,2021-02-05
2N,2N-11W,2024-03-22
2N,2N-1E,1957-12-18
2N,2N-1E,1966-10-03
2N,2N-1E,1975-06-04
2N,2N-1E,1982-10-07
2N,2N-1E,1984-09-22
2N,2N-1E,1997-02-08
2N,2N-1E,2000-01-17
2N,2N-1E,2003-02-21
2N,2N-1E,2006-02-06
2N,2N-1E,2009-03-23
2N,2N-1E,2012-02-27
2N,2N-1E,2015-03-20
2N,2N-1E,2018-01-31
2N,2N-1E,2021-02-03
2N,2N-1E,2024-02-25
2N,2N-1W,1957-12-18
2N,2N-1W,1966-10-03
2N,2N-1W,1975-06-04
2N,2N-1W,1982-10-07
2N,2N-1W,1984-09-22
2N,2N-1W,1997-02-08
2N,2N-1W,2000-01-17
2N,2N-1W,2003-02-21
2N,2N-1W,2006-02-06
2N,2N-1W,2009-04-13
2N,2N-1W,2012-02-27
2N,2N-1W,2015-03-20
2N,2N-1W,2018-01-31
2N,2N-1W,2021-02-03
2N,2N-1W,2024-02-25
2N,2N-2E,1957-12-18
2N,2N-2E,1966-10-03
2N,2N-2E,1975-06-04
2N,2N-2E,1982-10-07
2N,2N-2E,1984-09-22
2N,2N-2E,1997-02-08
2N,2N-2E,2000-03-03
2N,2N-2E,2003-03-03
2N,2N-2E,2006-02-07
2N,2N-2E,2009-03-23
2N,2N-2E,2012-02-27
2N,2N-2E,2015-02-23
2N,2N-2E,2018-01-31
2N,2N-2E,2021-01-22
2N,2N-2E,2024-02-25
2N,2N-2W,1957-12-18
2N,2N-2W,1966-10-03
2N,2N-2W,1975-06-04
2N,2N-2W,1982-10-07
2N,2N-2W,1984-09-22
2N,2N-2W,1997-02-08
2N,2N-2W,2000-03-03
2N,2N-2W,2003-03-03
2N,2N-2W,2006-02-07
2N,2N-2W,2009-03-23
2N,2N-2W,2012-02-27
2N,2N-2W,2015-02-23
2N,2N-2W,2018-01-31
2N,2N-2W,2021-01-22
2N,2N-2W,2024-03-24
2N,2N-4E,1966-10-03
2N,2N-4E,1975-06-04
2N,2N-4E,1981-06-09
2N,2N-4E,1984-09-22
2N,2N-4E,1997-03-14
2N,2N-4E,2000-03-10
2N,2N-4E,2003-02-21
2N,2N-4E,2006-02-06
2N,2N-4E,2009-04-13
2N,2N-4E,2012-02-27
2N,2N-4E,2015-03-23
2N,2N-4E,2018-02-05
2N,2N-4E,2021-02-03
2N,2N-4E,2024-02-25
2N,2N-4W,1957-12-20
2N,2N-4W,1966-10-03
2N,2N-4W,1975-06-04
2N,2N-4W,1981-06-09
2N,2N-4W,1984-09-22
2N,2N-4W,1997-03-14
2N,2N-4W,2000-03-10
2N,2N-4W,2003-02-21
2N,2N-4W,2006-02-06
2N,2N-4W,2009-04-13
2N,2N-4W,2012-02-27
2N,2N-4W,2015-03-23
2N,2N-4W,2018-02-05
2N,2N-4W,2021-02-03
2N,2N-4W,2024-02-25
2S,2S-1,1975-06-12
2S,2S-1,1981-05-20
2S,2S-1,1984-09-19
2S,2S-1,1997-05-12
2S,2S-1,2000-03-03
2S,2S-1,2003-02-28
2S,2S-1,2006-01-24
2S,2S-1,2009-03-06
2S,2S-1,2012-02-02
2S,2S-1,2015-02-20
2S,2S-1,2018-02-23
2S,2S-1,2021-01-22
2S,2S-1,2024-02-23
2S,2S-2,1975-06-12
2S,2S-2,1981-05-20
2S,2S-2,1984-09-19
2S,2S-2,1997-03-20
2S,2S-2,2000-03-03
2S,2S-2,2003-02-28
2S,2S-2,2006-01-26
2S,2S-2,2009-03-06
2S,2S-2,2012-02-02
2S,2S-2,2015-02-20
2S,2S-2,2018-02-23
2S,2S-2,2021-01-22
2S,2S-2,2024-02-23
2S,2S-4,1975-06-12
2S,2S-4,1982-10-28
2S,2S-4,1984-09-11
2S,2S-4,1997-03-20
2S,2S-4,2000-02-28
2S,2S-4,2003-03-14
2S,2S-4,2006-01-23
2S,2S-4,2009-03-30
2S,2S-4,2012-03-05
2S,2S-4,2015-02-16
