index,location,stationID,x,y,rec_perc,cligenID
0,Flagstaff,USW00003103,-111.6664,35.1442,99.76043806,AZ023010
1,Deer Flat,USC00102444,-116.7475,43.5764,96.20123203,ID102444
2,Billings,USC00244345,-108.2453,45.9228,94.74332649,MT244345
3,Bismark,USC00325479,-100.9097,46.8128,98.41204654,ND325479
4,Badlands,USC00394184,-101.9414,43.7483,96.91991786,SD394184
5,Ogallala,USC00256200,-101.7206,41.1275,96.27652293,NE256200
6,Laramie,USW00024022,-105.6728,41.3164,100,WY485415
7,Greeley,USC00053553,-104.6992,40.4022,99.52087611,CO053553
8,Reno,USW00023185,-119.7683,39.5078,99.99315537,NV266779
9,Great Salt Lake,USC00423097,-112.1975,40.7242,95.85215606,UT423097
