,level_0,index,stationID_left,long_left,lat_left,stationID_right,long_right,lat_right,dist,dist_m,complete_per
0,0,0,ak500352,-131.57,55.03,USW00025308,-131.5786,55.0389,0.012376186811775623,1133.1463780237902,100.0
1,1,1,ak500546,-156.78,71.30,USW00027502,-156.7394,71.2869,0.04266110640854059,2061.6237903335705,100.0
2,3,3,ak500754,-161.80,60.78,USW00026615,-161.8294,60.7850,0.02982213942692325,1695.7575373496022,100.0
3,4,4,ak500761,-151.52,66.92,USW00026533,-151.5189,66.9178,0.002459674775255158,250.0240308066814,100.0
4,6,6,ak502107,-147.83,64.87,USC00502107,-147.8483,64.8603,0.020711832367019848,1386.5027442398082,97.782340862423
5,7,7,ak502177,-145.50,60.50,USW00026410,-145.4444,60.4861,0.05731116819608375,3426.2184689924593,99.65776865160849
6,8,8,ak502607,-141.20,64.78,USC00502607,-141.2036,64.7856,0.006657326790841418,647.3897611122123,98.66529774127311
7,10,10,ak503465,-145.45,62.15,USW00026425,-145.4589,62.1592,0.012800390619047438,1125.4168435458246,99.82888432580424
8,11,11,ak503665,-151.50,59.63,USW00025507,-151.4911,59.6419,0.01486001345894854,1417.6164886970294,99.00068446269678
9,13,13,ak504546,-151.25,60.57,USW00026523,-151.2414,60.5792,0.01259364919314571,1128.3342988583304,100.0
10,15,15,ak504812,-152.35,58.18,USC00504812,-152.3722,58.1914,0.02495596121170157,1821.466984933084,96.32443531827516
11,16,16,ak504988,-152.50,57.75,USW00025501,-152.4881,57.7508,0.01192686044187358,714.150640160537,100.0
12,17,17,ak505076,-162.63,66.87,USW00026616,-162.6067,66.8856,0.028040149785620555,2017.4108363658986,100.0
13,18,18,ak505519,-134.65,56.38,USC00505519,-134.6497,56.3831,0.003114482300476792,345.6782765211959,93.36071184120466
14,19,19,ak505733,-149.27,61.57,USC00505733,-149.2542,61.5664,0.016204937519176028,930.5093905962581,97.93292265571526
15,20,20,ak505769,-155.62,62.97,USW00026510,-155.6100,62.9575,0.01600781059357311,1482.7656047496714,100.0
16,21,21,ak505778,-148.97,63.72,USC00505778,-148.9692,63.7175,0.0026248809496786036,281.47323644841845,96.79671457905545
17,22,22,ak506496,-165.43,64.50,USW00026617,-165.4400,64.5111,0.014940214188551511,1327.4818102786305,100.0
18,23,23,ak506586,-141.93,62.97,USW00026412,-141.9383,62.9614,0.011951987282451304,1046.9739696966426,99.74674880219028
19,24,24,ak508118,-170.22,57.15,USW00025713,-170.2228,57.1550,0.005730619512763747,582.0303165630924,100.0
20,25,25,ak508371,-149.45,60.12,USW00026438,-149.4186,60.1292,0.032720024449859726,2024.232234325634,97.91238877481177
21,26,26,ak508976,-150.10,62.30,USW00026528,-150.0975,62.3197,0.019857995870681395,2199.4022107116857,99.76728268309377
22,28,28,ak509641,-147.87,64.85,USC00509641,-147.8611,64.8569,0.011261438629243743,877.5063993714516,94.82546201232033
23,29,29,ak509941,-139.67,59.52,USW00025339,-139.6711,59.5122,0.007877182237327428,871.1799962264247,100.0
24,30,30,al010252,-86.50,31.32,USC00010252,-86.5225,31.3072,0.02588609665437573,2569.3096909614683,97.98083504449008
25,31,31,al010272,-85.85,33.58,USW00013871,-85.8478,33.5906,0.01082589488218064,1193.3044569726148,99.9794661190965
26,32,32,al010369,-85.83,33.27,USC00010369,-85.7789,33.2942,0.05654069331021874,5464.74625070527,95.03764544832308
27,34,34,al010583,-87.78,30.88,USC00010583,-87.7853,30.8839,0.006580273550550129,666.1803819821299,99.2060232717317
28,36,36,al010831,-86.75,33.57,USW00013876,-86.7450,33.5656,0.006660330322133191,673.5695329014047,100.0
29,37,37,al011084,-87.05,31.07,USC00011084,-87.0550,31.0583,0.012723600119467902,1382.1764384664552,98.3025325119781
30,38,38,al011566,-88.25,31.47,USC00011566,-88.2503,31.4714,0.0014317821063270278,157.82497376536043,94.10677618069815
31,39,39,al011620,-86.33,33.28,USC00011620,-86.3431,33.2814,0.013174596768031075,1230.1844343183882,99.4318959616701
32,42,42,al012758,-86.97,31.43,USC00012758,-86.9533,31.4450,0.022447494292237215,2299.2471342872095,99.65092402464066
33,43,43,al012813,-87.88,30.55,USC00012813,-87.8808,30.5467,0.003395585369268921,373.80998211312743,99.81519507186857
34,46,46,al013511,-87.60,32.70,USC00013511,-87.5761,32.6922,0.025140604606889105,2402.297556942348,96.14647501711157
35,49,49,al013761,-85.33,31.35,USC00013761,-85.3678,31.3831,0.050243905103008815,5138.221005056496,96.37234770704997
36,50,50,al013775,-85.60,33.65,USC00013775,-85.6094,33.6433,0.011543396380611838,1145.700855245257,92.57357973990418
37,51,51,al014064,-86.77,34.65,USW00003856,-86.7861,34.6442,0.017112860660926536,1610.1635262084264,100.0
38,52,52,al014502,-85.40,32.90,USC00014502,-85.4336,32.9069,0.03430116616092718,3235.245362655785,92.25188227241615
39,53,53,al015121,-87.22,32.47,USC00015121,-87.2308,32.4717,0.010932977636493585,1032.6307754000768,98.29568788501027
40,54,54,al015478,-88.25,30.68,USW00013894,-88.2400,30.6794,0.010017983829099578,960.5258808982145,100.0
