stationID,x,y
ak500352,-131.57,55.03
ak500546,-156.78,71.30
ak500657,-131.47,55.38
ak500754,-161.80,60.78
ak500761,-151.52,66.92
ak502102,-162.72,55.20
ak502107,-147.83,64.87
ak502177,-145.50,60.50
ak502607,-141.20,64.78
ak502968,-147.87,64.82
ak503465,-145.45,62.15
ak503665,-151.50,59.63
ak504100,-134.58,58.37
ak504546,-151.25,60.57
ak504766,-156.65,58.68
ak504812,-152.35,58.18
ak504988,-152.50,57.75
ak505076,-162.63,66.87
ak505519,-134.65,56.38
ak505733,-149.27,61.57
ak505769,-155.62,62.97
ak505778,-148.97,63.72
ak506496,-165.43,64.50
ak506586,-141.93,62.97
ak508118,-170.22,57.15
ak508371,-149.45,60.12
ak508976,-150.10,62.30
ak509014,-152.10,65.17
ak509641,-147.87,64.85
ak509941,-139.67,59.52
al010252,-86.50,31.32
al010272,-85.85,33.58
al010369,-85.83,33.27
al010505,-87.35,33.45
al010583,-87.78,30.88
al010655,-86.88,34.68
al010831,-86.75,33.57
al011084,-87.05,31.07
al011566,-88.25,31.47
al011620,-86.33,33.28
al011694,-86.63,32.85
al012245,-87.83,32.52
al012758,-86.97,31.43
al012813,-87.88,30.55
al013154,-86.00,34.02
al013160,-88.15,32.82
al013511,-87.60,32.70
al013519,-86.63,31.83
al013620,-87.62,34.23
al013761,-85.33,31.35
al013775,-85.60,33.65
al014064,-86.77,34.65
al014502,-85.40,32.90
al015121,-87.22,32.47
al015478,-88.25,30.68
al015550,-86.40,32.30
al015635,-87.30,34.48
al015749,-87.60,34.73
al016121,-86.48,33.95
al016988,-87.60,30.55
al017131,-87.73,34.50
al017157,-86.78,34.20
al017207,-85.97,34.28
al017304,-86.03,34.68
al017366,-87.00,32.42
al018024,-86.10,33.43
al018178,-87.75,31.92
al018209,-86.70,32.88
al018323,-85.97,31.82
al018438,-85.73,32.13
al018469,-85.60,34.57
al018517,-88.12,33.75
al018998,-87.83,33.92
ar030064,-91.08,35.90
ar030130,-92.87,34.80
ar030220,-93.05,34.12
ar030458,-91.78,35.82
ar030460,-91.63,35.77
ar030536,-91.10,35.43
ar030582,-92.62,34.55
ar030764,-93.18,34.60
ar030798,-93.65,35.10
ar030806,-89.92,35.93
ar030936,-91.18,34.90
ar031102,-92.07,34.95
ar031132,-92.13,36.13
ar031152,-92.82,33.60
ar031596,-92.45,35.08
ar031632,-90.58,36.40
ar031730,-91.93,33.03
ar031838,-93.15,35.22
ar031948,-94.35,34.03
ar031968,-91.50,34.97
ar032148,-91.50,33.88
ar032300,-92.80,33.22
ar032366,-91.62,36.08
ar032443,-94.17,36.00
ar032444,-94.17,36.10
ar032540,-92.37,33.70
ar032574,-94.37,35.33
ar032794,-92.72,35.98
ar032930,-94.47,36.40
ar033242,-90.63,34.55
ar033428,-93.55,33.72
ar033466,-93.05,34.52
ar033734,-90.70,35.83
ar033862,-92.00,34.60
ar034106,-92.90,36.40
ar034248,-92.23,34.73
ar034548,-93.23,33.28
ar034562,-92.82,34.37
ar034572,-91.53,36.48
ar034638,-90.82,34.73
ar034756,-94.25,34.58
ar034900,-91.83,33.58
ar035036,-92.50,36.33
ar035112,-93.85,33.97
ar035186,-91.28,35.60
ar035200,-93.17,34.95
ar035754,-92.00,34.20
ar035820,-90.98,36.27
ar035866,-91.50,33.23
ar035908,-93.38,33.80
ar036376,-91.13,34.38
ar036506,-91.73,35.25
ar036768,-92.80,33.92
ar036920,-91.42,34.47
ar036928,-93.65,35.30
ar037488,-94.10,34.90
ar038052,-90.77,35.22
az020080,-112.87,32.37
az020159,-109.13,33.85
az020287,-111.38,31.97
az020632,-111.63,33.82
az020750,-110.53,36.68
az020808,-109.77,33.48
az020949,-114.02,33.95
az021001,-112.07,36.20
az021314,-111.53,33.00
az021330,-110.38,32.30
az021353,-112.37,33.98
az021654,-112.45,34.77
az022109,-112.17,34.30
az022140,-110.25,31.35
az022664,-109.60,31.45
az022754,-109.10,32.73
az023010,-111.67,35.13
az023160,-111.73,35.27
az023303,-109.55,35.72
az023393,-112.72,32.95
az023683,-109.47,34.03
az023961,-110.58,34.38
az024453,-112.12,34.75
az024675,-111.60,31.97
az024702,-113.87,33.27
az024829,-112.15,33.33
az025412,-109.85,34.07
az025635,-111.83,34.62
az025924,-110.93,31.35
az026132,-112.78,31.93
az026250,-114.30,34.15
az026323,-111.33,34.23
az026468,-109.87,34.80
az026481,-112.03,33.43
az026796,-112.47,34.55
az026801,-112.43,34.65
az027281,-111.15,33.67
az027390,-109.68,32.82
az027435,-109.37,34.50
az027716,-112.88,35.32
az028012,-110.08,34.50
az028162,-109.28,34.13
az028214,-111.53,33.57
az028396,-113.92,32.72
az028499,-111.93,33.38
az028619,-110.07,31.72
az028820,-110.88,32.18
az028865,-111.05,31.57
az029158,-112.85,34.93
az029287,-112.73,33.97
az029334,-109.83,32.25
az029359,-112.18,35.25
az029439,-110.73,35.02
az029542,-111.37,35.52
az029645,-114.15,34.87
az029654,-114.40,32.83
ca040136,-116.78,32.83
ca040161,-120.53,41.50
ca040212,-120.43,38.58
ca040343,-118.83,36.48
ca040379,-119.48,37.08
ca040383,-121.07,38.88
ca040442,-119.05,35.42
ca040449,-119.10,36.90
ca040693,-122.27,37.87
ca040738,-123.25,40.75
ca040822,-118.37,37.37
ca040924,-114.60,33.62
ca040927,-114.72,33.62
ca040931,-120.10,39.38
ca040983,-116.42,33.27
ca041018,-120.65,39.45
ca041072,-119.23,38.27
ca041194,-118.37,34.20
ca041244,-119.47,35.40
ca041253,-119.97,34.62
ca041277,-120.32,38.28
ca041316,-122.80,41.30
ca041424,-116.47,32.62
ca041428,-120.85,38.25
ca041484,-118.57,34.18
ca041497,-121.08,40.17
ca041614,-120.17,41.53
ca041700,-121.22,40.30
ca041715,-121.82,39.70
ca041758,-117.10,32.60
ca041838,-122.98,38.77
ca041864,-120.35,36.15
ca041912,-120.97,39.10
ca041948,-122.00,39.22
ca042012,-119.57,36.10
ca042081,-123.25,39.78
ca042147,-124.20,41.75
ca042239,-116.58,32.98
ca042257,-116.78,34.87
ca042294,-121.75,38.53
ca042319,-116.87,36.47
ca042402,-121.62,39.87
ca042467,-120.23,39.32
ca042500,-120.83,39.57
ca042598,-115.45,33.80
ca042713,-115.57,32.78
ca042805,-117.35,33.67
ca042910,-124.17,40.80
ca042934,-122.05,38.25
ca042941,-118.43,34.70
ca043083,-120.17,36.33
ca043157,-120.13,41.85
ca043161,-123.80,39.45
ca043182,-122.85,41.60
ca043191,-123.25,38.52
ca043257,-119.82,36.73
ca043261,-119.72,36.98
ca043384,-120.78,38.92
ca043463,-118.70,35.72
ca043551,-118.97,36.73
ca043578,-122.88,38.43
ca043710,-117.95,36.13
ca043714,-122.43,37.47
ca043747,-119.67,36.32
ca043761,-123.38,41.80
ca043824,-121.55,40.93
ca043855,-115.63,33.70
ca043914,-116.77,33.23
ca043939,-119.78,37.95
ca044211,-116.72,33.75
ca044223,-115.57,32.85
ca044232,-118.20,36.80
ca044297,-115.12,34.15
ca044374,-120.30,41.27
ca044500,-122.55,37.95
ca044555,-121.13,36.20
ca044838,-121.52,41.73
ca044890,-119.03,36.38
ca044957,-119.05,36.18
ca044997,-121.77,37.68
ca045032,-121.28,38.12
ca045064,-120.47,34.63
ca045114,-118.38,33.93
ca045115,-118.23,34.05
ca045118,-120.85,37.05
ca045123,-121.98,37.22
ca045233,-120.02,36.97
ca045311,-121.57,40.53
ca045449,-122.13,41.25
ca045502,-116.03,33.55
ca045532,-120.47,37.32
ca045679,-121.57,40.35
ca045738,-121.00,37.65
ca045795,-121.92,36.60
ca045915,-121.93,37.87
ca045933,-121.65,37.33
ca045941,-122.00,41.78
ca045983,-122.32,41.32
ca046006,-118.07,34.23
ca046074,-122.27,38.28
ca046118,-114.62,34.77
ca046136,-121.03,39.27
ca046144,-122.03,37.52
ca046175,-117.88,33.60
ca046252,-119.50,37.23
ca046377,-117.40,33.22
ca046399,-119.25,34.45
ca046506,-122.20,39.75
ca046508,-123.53,41.30
ca046624,-118.12,34.58
ca046635,-116.55,33.82
ca046646,-122.13,37.45
ca046657,-116.85,33.35
ca046699,-114.17,34.28
ca046719,-118.15,34.15
ca046730,-120.68,35.63
ca046742,-120.65,35.60
ca046826,-122.63,38.23
ca046926,-121.18,36.48
ca046943,-120.63,35.13
ca047085,-120.47,39.80
ca047109,-123.13,39.37
ca047253,-117.65,35.37
ca047306,-117.18,34.05
ca047339,-122.23,37.48
ca047414,-122.35,37.93
ca047470,-117.35,33.97
ca047630,-121.50,38.52
ca047633,-121.50,38.58
ca047668,-121.60,36.67
ca047669,-121.63,36.67
ca047735,-118.73,34.75
ca047740,-117.17,32.73
ca047769,-122.38,37.62
ca047772,-122.42,37.78
ca047785,-118.10,34.10
ca047851,-120.67,35.30
ca047888,-117.85,33.77
ca047905,-119.83,34.43
ca047916,-122.02,36.97
ca047946,-120.42,34.93
ca047965,-122.70,38.45
ca048045,-124.10,40.48
ca048135,-122.42,40.72
ca048218,-120.37,39.58
ca048351,-122.45,38.28
ca048353,-120.38,37.98
ca048380,-119.50,37.50
ca048558,-121.25,37.90
ca048560,-121.23,37.95
ca048587,-122.53,39.58
ca048606,-121.10,39.57
ca048758,-120.15,39.17
ca048839,-118.75,35.03
ca048892,-116.17,33.62
ca048917,-118.85,36.47
ca048973,-118.32,33.83
ca048999,-121.42,37.70
ca049001,-121.58,37.80
ca049035,-117.38,35.78
ca049053,-121.47,41.97
ca049099,-116.05,34.13
ca049152,-118.45,34.07
ca049325,-117.30,34.53
ca049367,-119.30,36.33
ca049452,-119.33,35.60
ca049473,-121.77,36.93
ca049490,-122.93,40.73
ca049699,-122.18,39.52
ca049742,-121.97,38.52
ca049781,-121.77,38.68
ca049855,-119.58,37.75
ca049866,-122.63,41.72
co050109,-103.15,40.15
co050114,-103.17,40.12
co050130,-105.85,37.43
co050214,-108.53,39.58
co050263,-105.88,39.00
co050454,-105.48,39.40
co050834,-102.18,39.62
co050848,-105.27,40.02
co051071,-106.13,38.83
co051121,-102.27,39.30
co051179,-104.22,39.70
co051401,-104.87,39.37
co051458,-106.12,37.75
co051528,-105.28,39.22
co051564,-102.35,38.82
co051609,-107.52,38.40
co051660,-106.20,39.38
co051713,-106.77,38.43
co051772,-108.73,39.10
co051778,-104.70,38.82
co051886,-108.57,37.35
co051959,-106.97,38.87
co052184,-106.35,37.67
co052220,-104.88,39.77
co052281,-106.05,39.60
co052932,-103.07,39.28
co053005,-105.08,40.58
co053016,-108.05,37.23
co053246,-108.93,38.70
co053359,-107.32,39.52
co053488,-108.53,39.12
co053496,-105.83,40.27
co053500,-105.85,40.25
co053530,-105.68,39.47
co053541,-105.53,37.72
co053553,-104.70,40.40
co053662,-106.92,38.55
co053867,-107.25,40.50
co053951,-107.12,37.75
co054076,-102.12,38.05
co054082,-102.30,40.58
co054388,-102.93,38.07
co054452,-105.10,39.50
co054603,-102.78,38.77
co054720,-103.52,38.05
co054742,-105.48,38.92
co054770,-102.62,38.07
co054834,-103.22,38.08
co054884,-106.30,39.25
co054945,-103.02,40.48
co055017,-103.68,39.27
co055322,-105.95,37.18
co055531,-108.50,37.20
co055706,-106.15,37.57
co055722,-107.88,38.48
co056266,-108.35,39.10
co056306,-107.58,38.87
co056832,-108.80,40.08
co057167,-103.70,38.03
co057309,-104.98,38.85
co057515,-102.52,40.85
co057936,-106.83,40.50
co058064,-106.37,39.25
co058157,-104.07,38.38
co058184,-106.62,38.82
co058429,-104.50,37.17
co058434,-104.33,37.25
co058501,-106.32,39.08
co058560,-108.73,38.37
co058582,-107.58,37.37
co058756,-106.27,40.73
co058781,-104.78,37.63
co058793,-102.28,37.38
co058839,-105.20,40.42
co058931,-105.48,38.13
co059243,-102.22,40.07
co059265,-106.90,40.15
ct060806,-73.13,41.17
ct060973,-72.93,41.80
ct062658,-73.37,41.95
ct063451,-72.65,41.73
ct065445,-73.22,41.97
de072730,-75.52,39.15
de079595,-75.60,39.67
de079605,-75.53,39.77
fl080211,-84.98,29.73
fl080228,-81.85,27.22
fl080369,-81.50,27.60
fl080478,-81.83,27.90
fl081276,-80.63,26.87
fl081544,-85.48,30.78
fl081641,-81.78,28.48
fl082008,-83.12,29.63
fl082158,-81.05,29.18
fl082229,-81.30,29.03
fl082850,-81.38,25.85
fl082915,-81.53,29.73
fl082944,-81.45,30.67
fl083163,-80.15,26.10
fl083186,-81.87,26.58
fl083207,-80.33,27.43
fl083470,-82.17,30.25
fl083909,-80.28,25.83
fl083956,-82.60,29.83
fl084289,-82.33,28.83
fl084358,-81.65,30.42
fl084366,-81.40,30.28
fl084394,-82.80,30.50
fl084570,-81.70,24.58
fl084625,-81.40,28.30
fl084731,-82.60,30.18
fl085099,-82.97,30.28
fl085275,-83.42,30.47
fl085539,-83.23,30.10
fl085612,-80.63,28.10
fl085658,-80.13,25.78
fl085663,-80.28,25.82
fl085895,-81.08,26.83
fl085973,-81.60,27.93
fl086065,-82.32,27.25
fl086078,-81.82,26.12
fl086240,-86.50,30.52
fl086414,-82.13,29.18
fl086842,-85.60,30.22
fl086880,-82.42,27.58
fl086997,-87.20,30.47
fl087025,-83.57,30.08
fl087205,-82.13,28.02
fl087851,-82.25,28.33
fl087886,-82.63,27.78
fl088620,-80.25,27.20
fl088758,-84.35,30.45
fl088788,-82.53,27.97
fl088824,-82.78,28.13
fl088942,-80.83,28.62
fl089120,-82.82,29.42
fl089176,-82.45,27.10
fl089219,-80.45,27.63
fl089401,-81.82,27.57
fl089430,-82.58,28.52
fl089525,-80.10,26.68
ga090140,-84.15,31.57
ga090211,-82.52,31.53
ga090311,-82.33,33.57
ga090435,-83.32,33.95
ga090451,-84.42,33.65
ga090495,-82.03,33.47
ga090969,-83.93,34.85
ga091266,-81.68,32.38
ga091340,-81.50,31.15
ga091345,-81.38,31.15
ga091500,-84.22,31.23
ga091640,-85.07,33.58
ga091665,-84.80,34.15
ga091732,-85.25,34.02
ga091982,-83.38,34.87
ga092153,-84.73,31.17
ga092166,-84.93,32.52
ga092266,-83.78,31.97
ga092283,-83.53,34.52
ga092450,-84.78,31.77
ga092485,-84.83,33.92
ga092783,-82.85,31.50
ga092966,-83.18,32.20
ga093060,-82.87,34.12
ga093465,-82.13,30.73
ga093538,-81.62,31.87
ga093621,-83.83,34.32
ga093754,-81.92,31.93
ga094133,-82.92,34.40
ga094170,-83.47,32.28
ga094429,-82.75,31.03
ga094648,-84.43,34.47
ga094941,-85.28,34.70
ga095314,-82.40,33.00
ga095443,-83.65,32.70
ga095874,-83.22,33.08
ga095988,-83.68,33.30
ga096087,-83.78,31.18
ga097600,-85.17,34.25
ga097777,-82.77,32.95
ga097808,-81.28,31.40
ga098064,-83.10,33.53
ga098535,-84.53,32.67
ga098703,-83.53,31.47
ga098740,-83.32,34.58
ga099141,-82.67,33.40
ga099157,-82.73,33.73
ga099186,-82.37,31.22
ga099194,-82.02,33.08
ga099291,-85.18,32.87
hi511004,-156.25,20.77
hi511303,-155.27,19.43
hi511492,-155.07,19.72
hi511919,-157.93,21.33
hi512679,-156.22,20.90
hi512751,-155.93,19.53
hi515580,-159.35,21.98
hi516198,-155.58,19.55
hi517166,-155.88,19.27
ia130112,-92.80,41.03
ia130133,-94.23,43.07
ia130157,-92.78,42.77
ia130241,-93.62,41.72
ia130364,-94.98,41.40
ia130385,-94.95,41.70
ia130536,-94.05,40.82
ia130576,-94.73,40.68
ia130600,-92.27,41.90
ia130608,-90.42,42.27
ia130753,-92.42,40.80
ia130807,-93.88,42.07
ia130923,-93.82,43.07
ia131233,-94.87,42.07
ia131257,-91.00,42.30
ia131277,-95.82,42.07
ia131314,-91.70,41.88
ia131319,-91.65,41.98
ia131394,-93.25,41.00
ia131402,-92.67,43.07
ia131442,-95.57,42.75
ia131533,-95.02,40.73
ia131541,-93.73,42.73
ia131635,-90.18,41.83
ia131833,-94.72,41.00
ia131954,-92.12,43.37
ia132110,-91.80,43.30
ia132171,-95.37,42.00
ia132203,-93.65,41.53
ia132364,-90.65,42.53
ia132367,-90.70,42.40
ia132573,-93.15,42.37
ia132603,-91.40,42.85
ia132689,-94.67,43.10
ia132724,-94.83,43.40
ia132789,-91.95,41.02
ia132864,-91.80,42.83
ia132977,-93.63,43.28
ia132999,-94.17,42.52
ia133007,-91.37,40.62
ia133438,-94.47,41.32
ia133473,-92.73,41.73
ia133487,-92.72,42.40
ia133509,-94.50,41.68
ia133517,-91.10,42.78
ia133584,-93.20,42.75
ia133632,-95.32,41.65
ia133718,-96.48,43.00
ia134063,-93.55,41.37
ia134101,-91.53,41.67
ia134142,-93.27,42.53
ia134228,-94.37,42.02
ia134381,-91.40,40.40
ia134389,-91.97,40.72
ia134502,-93.10,41.32
ia134561,-95.32,43.45
ia134705,-90.42,41.58
ia134735,-96.17,42.80
ia134894,-95.80,41.63
ia135123,-95.80,42.23
ia135131,-90.70,42.08
ia135198,-92.93,42.07
ia135230,-93.20,43.18
ia135235,-93.33,43.15
ia135493,-95.18,43.38
ia135769,-94.23,40.73
ia135796,-91.53,40.95
ia135837,-91.05,41.43
ia135952,-92.32,43.07
ia135992,-93.07,41.70
ia136103,-93.22,43.45
ia136151,-95.38,41.32
ia136305,-92.80,43.28
ia136327,-92.67,41.28
ia136389,-92.45,41.10
ia136566,-94.08,41.83
ia136719,-94.65,42.72
ia136800,-95.63,43.08
ia136940,-95.22,41.02
ia137147,-96.17,43.43
ia137161,-94.62,42.40
ia137312,-94.98,42.43
ia137386,-95.65,43.18
ia137594,-95.85,43.18
ia137613,-95.38,40.77
ia137664,-95.75,43.40
ia137669,-95.63,40.75
ia137678,-92.20,41.33
ia137700,-96.17,43.08
ia137708,-96.38,42.38
ia137726,-95.13,42.88
ia137844,-95.20,43.17
ia137979,-95.18,42.63
ia138026,-94.35,43.42
ia138296,-92.57,42.00
ia138339,-92.25,42.82
ia138568,-92.02,42.17
ia138688,-91.68,41.28
ia138706,-92.40,42.55
ia138755,-91.48,43.27
ia138806,-93.82,42.47
ia139067,-92.02,41.65
ia139132,-94.02,41.32
id100010,-112.83,42.95
id100470,-111.45,44.08
id100667,-116.55,47.98
id101018,-116.07,43.53
id101022,-116.22,43.57
id101079,-116.30,48.70
id101303,-113.77,42.53
id101363,-116.07,48.08
id101408,-116.68,44.57
id101514,-116.05,44.53
id101671,-113.80,44.00
id102187,-116.42,44.75
id102260,-113.57,43.47
id102444,-116.75,43.58
id102676,-111.12,43.73
id102707,-112.20,44.25
id102875,-115.43,45.82
id102892,-116.17,46.78
id102942,-116.47,43.87
id103143,-115.55,46.10
id103297,-112.43,43.03
id103448,-115.92,44.07
id103631,-115.30,42.95
id103732,-111.73,42.58
id103771,-116.13,45.93
id103964,-112.42,43.83
id104140,-114.13,42.60
id104295,-114.58,42.35
id104384,-113.00,43.78
id104442,-115.83,43.83
id104457,-112.07,43.52
id104460,-112.95,43.53
id104670,-114.53,42.72
id105241,-117.02,46.38
id105275,-111.30,42.12
id105462,-113.62,43.92
id105559,-112.32,42.17
id105708,-116.12,44.90
id105980,-113.50,42.67
id106152,-117.00,46.73
id106388,-116.28,44.97
id106424,-116.20,46.25
id106542,-113.88,42.25
id106844,-116.95,43.80
id106877,-113.75,42.62
id106891,-116.93,44.07
id107211,-112.60,42.92
id107264,-116.50,49.00
id107301,-116.88,46.92
id107386,-116.83,48.35
id107673,-114.15,43.05
id108022,-111.67,43.97
id108062,-116.57,47.32
id108080,-113.90,45.18
id108137,-116.57,48.28
id108380,-114.40,42.93
id108928,-116.38,43.25
id109065,-111.27,43.85
id109498,-115.88,47.50
il110072,-90.75,41.20
il110137,-90.18,38.88
il110187,-89.25,37.47
il110338,-88.33,41.75
il110510,-89.85,38.53
il110993,-88.65,37.13
il111166,-89.17,37.00
il111265,-89.22,37.72
il111280,-89.82,39.28
il111436,-88.17,39.48
il111475,-88.73,40.73
il111577,-87.75,41.78
il112140,-87.63,40.13
il112193,-88.95,39.85
il112483,-89.23,38.02
il112687,-88.53,39.15
il112736,-88.28,42.03
il112931,-88.37,38.38
il113262,-89.60,42.28
il113290,-90.15,41.90
il113320,-90.37,40.95
il113335,-90.03,41.17
il113384,-90.17,41.45
il114108,-89.48,39.15
il114198,-87.67,40.47
il114442,-90.23,39.73
il114489,-90.33,39.12
il114530,-88.10,41.50
il114603,-87.88,41.13
il114710,-89.92,41.23
il114823,-90.97,40.58
il115079,-89.37,40.15
il115413,-89.70,40.20
il115712,-89.03,40.90
il115751,-90.52,41.45
il115768,-90.65,40.90
il115833,-89.97,41.82
il115901,-89.97,42.08
il115943,-88.90,38.32
il116011,-89.40,38.38
il116446,-88.08,38.73
il116526,-88.83,41.37
il116558,-87.62,39.00
il116579,-89.08,39.38
il116610,-87.70,39.63
il116616,-87.68,41.50
il116661,-88.98,41.68
il116711,-89.68,40.67
il116753,-89.15,41.33
il116910,-88.62,40.88
il117004,-89.78,40.95
il117072,-91.18,39.93
il117150,-88.15,40.30
il117382,-89.10,42.20
il117551,-90.57,40.12
il117636,-88.95,38.63
il118147,-89.70,38.13
il118179,-89.67,39.83
il118293,-90.00,42.35
il118684,-88.28,39.80
il118740,-88.22,40.13
il118916,-89.58,41.55
il119021,-87.73,40.77
il119241,-90.38,39.43
il119354,-88.60,39.43
in120177,-85.68,40.10
in120200,-85.00,41.63
in120676,-84.95,40.67
in120784,-86.52,39.17
in121030,-85.02,39.42
in127298,-87.15,40.92
in121739,-85.50,41.15
in121747,-85.90,39.22
in122309,-86.70,38.45
in122638,-85.83,40.27
in122738,-87.53,38.05
in122825,-85.12,40.18
in123037,-85.20,41.00
in123082,-86.50,40.32
in123418,-85.83,41.58
in123513,-86.85,39.65
in123527,-85.77,39.78
in123547,-85.48,39.35
in123777,-85.37,40.43
in124259,-86.27,39.73
in124272,-86.12,39.75
in124662,-86.13,40.48
in124715,-86.87,40.35
in124837,-86.72,41.60
in125237,-85.38,38.73
in125337,-85.68,40.52
in125407,-86.42,39.43
in126001,-87.90,37.93
in126164,-85.37,39.93
in126435,-85.62,39.02
in126580,-86.53,38.88
in126705,-86.47,38.57
in127069,-84.97,40.47
in127125,-87.57,38.37
in127482,-86.22,41.07
in127522,-87.23,39.77
in127646,-85.43,39.62
in127935,-85.90,38.98
in128036,-86.80,38.67
in128187,-86.32,41.70
in128290,-86.77,39.28
in128698,-86.77,37.95
in129424,-86.87,41.35
in129430,-87.00,40.47
in129557,-86.33,40.00
in129670,-86.60,41.05
ks140010,-97.22,38.92
ks140264,-98.08,37.17
ks140365,-99.78,37.20
ks140405,-95.12,39.57
ks140439,-101.05,39.80
ks140682,-97.62,39.83
ks140693,-98.10,39.47
ks140865,-99.20,38.52
ks141351,-96.62,38.03
ks141383,-99.73,38.80
ks141427,-95.48,37.67
ks141522,-100.35,37.80
ks141559,-97.13,39.38
ks141699,-101.07,39.38
ks141704,-99.33,37.27
ks141740,-94.85,37.18
ks141767,-97.65,39.55
ks141858,-96.55,38.37
ks142164,-99.97,37.77
ks142401,-96.85,37.82
ks142432,-101.90,37.00
ks142622,-96.28,37.82
ks142835,-94.70,37.85
ks142975,-100.82,37.97
ks142980,-100.82,37.98
ks143008,-95.23,38.28
ks143074,-94.83,37.52
ks143100,-98.32,39.50
ks143153,-101.70,39.35
ks143218,-98.77,38.35
ks143239,-99.30,37.60
ks143527,-99.33,38.87
ks143554,-100.62,38.60
ks143594,-96.98,38.67
ks143759,-95.73,39.47
ks143810,-95.52,39.67
ks143822,-96.27,37.48
ks143837,-100.45,39.35
ks143847,-98.65,38.10
ks143855,-101.35,37.18
ks143930,-98.03,37.93
ks143954,-95.72,37.22
ks143984,-95.43,37.92
ks144178,-97.95,38.62
ks144313,-98.12,37.65
ks144357,-99.12,39.67
ks144464,-101.25,37.93
ks144559,-95.23,38.97
ks144665,-101.37,38.48
ks144695,-100.92,37.03
ks144712,-98.15,39.05
ks144972,-96.57,39.18
ks145063,-96.63,39.85
ks145152,-97.67,38.37
ks145171,-100.33,37.28
ks145363,-97.70,39.13
ks145536,-95.45,37.18
ks145692,-99.90,38.45
ks145744,-97.28,38.07
ks145856,-99.85,39.68
ks145870,-97.87,37.47
ks145888,-100.85,39.13
ks145906,-100.52,39.82
ks146128,-95.25,38.63
ks146242,-95.27,37.33
ks146435,-99.30,39.23
